code,description
E761,Mucopolysaccharidosis type II
E76210,Morquio A mucopolysaccharidoses
E76211,Morquio B mucopolysaccharidoses
E76219,Morquio mucopolysaccharidoses unspecified
E7622,Sanfilippo mucopolysaccharidoses
E7629,Other mucopolysaccharidoses
E763,Mucopolysaccharidosis unspecified
E768,Other disorders of glucosaminoglycan metabolism
E769,Glucosaminoglycan metabolism disorder unspecified
E770,Defects in post-translational modification of lysosomal enzymes
E778,Other disorders of glycoprotein metabolism
E779,Disorder of glycoprotein metabolism unspecified
E7800,Pure hypercholesterolemia unspecified
E7801,Familial hypercholesterolemia
E781,Pure hyperglyceridemia
E782,Mixed hyperlipidemia
E783,Hyperchylomicronemia
E7841,Elevated Lipoprotein(a)
E7849,Other hyperlipidemia
E785,Hyperlipidemia unspecified
E786,Lipoprotein deficiency
E7870,Disorder of bile acid and cholesterol metabolism unspecified
E7871,Barth syndrome
E7872,Smith-Lemli-Opitz syndrome
E7879,Other disorders of bile acid and cholesterol metabolism
E7881,Lipoid dermatoarthritis
E7889,Other lipoprotein metabolism disorders
E789,Disorder of lipoprotein metabolism unspecified
E790,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease
E791,Lesch-Nyhan syndrome
E792,Myoadenylate deaminase deficiency
E798,Other disorders of purine and pyrimidine metabolism
E799,Disorder of purine and pyrimidine metabolism unspecified
E800,Hereditary erythropoietic porphyria
E801,Porphyria cutanea tarda
E8020,Unspecified porphyria
E8021,Acute intermittent (hepatic) porphyria
E8029,Other porphyria
E803,Defects of catalase and peroxidase
E804,Gilbert syndrome
E805,Crigler-Najjar syndrome
E806,Other disorders of bilirubin metabolism
E807,Disorder of bilirubin metabolism unspecified
E8301,Wilson's disease
E8309,Other disorders of copper metabolism
E8310,Disorder of iron metabolism unspecified
E83110,Hereditary hemochromatosis
E83111,Hemochromatosis due to repeated red blood cell transfusions
E83118,Other hemochromatosis
E83119,Hemochromatosis unspecified
E8319,Other disorders of iron metabolism
E832,Disorders of zinc metabolism
E8330,Disorder of phosphorus metabolism unspecified
E8331,Familial hypophosphatemia
E8332,Hereditary vitamin D-dependent rickets (type 1) (type 2)
E8339,Other disorders of phosphorus metabolism
E8340,Disorders of magnesium metabolism unspecified
E8341,Hypermagnesemia
E8342,Hypomagnesemia
E8349,Other disorders of magnesium metabolism
E8350,Unspecified disorder of calcium metabolism
E8351,Hypocalcemia
E8352,Hypercalcemia
E8359,Other disorders of calcium metabolism
E8381,Hungry bone syndrome
E8389,Other disorders of mineral metabolism
E839,Disorder of mineral metabolism unspecified
E840,Cystic fibrosis with pulmonary manifestations
E8411,Meconium ileus in cystic fibrosis
E8419,Cystic fibrosis with other intestinal manifestations
E850,Non-neuropathic heredofamilial amyloidosis
E851,Neuropathic heredofamilial amyloidosis
E852,Heredofamilial amyloidosis unspecified
E853,Secondary systemic amyloidosis
E854,Organ-limited amyloidosis
E8581,Light chain (AL) amyloidosis
E8582,Wild-type transthyretin-related (ATTR) amyloidosis
E8589,Other amyloidosis
E859,Amyloidosis unspecified
E860,Dehydration
E861,Hypovolemia
E869,Volume depletion unspecified
E870,Hyperosmolality and hypernatremia
E871,Hypo-osmolality and hyponatremia
E872,Acidosis
E873,Alkalosis
E874,Mixed disorder of acid-base balance
E875,Hyperkalemia
E876,Hypokalemia
E8770,Fluid overload unspecified
E8771,Transfusion associated circulatory overload
E8779,Other fluid overload
E878,Other disorders of electrolyte and fluid balance not elsewhere classified
E8801,Alpha-1-antitrypsin deficiency
E8802,Plasminogen deficiency
E8809,Other disorders of plasma-protein metabolism not elsewhere classified
E881,Lipodystrophy not elsewhere classified
E882,Lipomatosis not elsewhere classified
E883,Tumor lysis syndrome
E8840,Mitochondrial metabolism disorder unspecified
E8841,MELAS syndrome
E8842,MERRF syndrome
E8849,Other mitochondrial metabolism disorders
E8881,Metabolic syndrome
E8889,Other specified metabolic disorders
E889,Metabolic disorder unspecified
E890,Postprocedural hypothyroidism
E8940,Asymptomatic postprocedural ovarian failure
E8941,Symptomatic postprocedural ovarian failure
E895,Postprocedural testicular hypofunction
E8989,Other postprocedural endocrine and metabolic complications and disorders
F0150,Vascular dementia without behavioral disturbance
F0280,Dementia in other diseases classified elsewhere without behavioral disturbance
F0390,Unspecified dementia without behavioral disturbance
F04,Amnestic disorder due to known physiological condition
F05,Delirium due to known physiological condition
F060,Psychotic disorder with hallucinations due to known physiological condition
F061,Catatonic disorder due to known physiological condition
F062,Psychotic disorder with delusions due to known physiological condition
F0630,Mood disorder due to known physiological condition unspecified
F064,Anxiety disorder due to known physiological condition
F068,Other specified mental disorders due to known physiological condition
F070,Personality change due to known physiological condition
F0781,Postconcussional syndrome
F0789,Other personality and behavioral disorders due to known physiological condition
F079,Unspecified personality and behavioral disorder due to known physiological condition
F1010,Alcohol abuse uncomplicated
F1020,Alcohol dependence uncomplicated
F10920,Alcohol use unspecified with intoxication uncomplicated
F1110,Opioid abuse uncomplicated
F1120,Opioid dependence uncomplicated
F1190,Opioid use unspecified uncomplicated
F1210,Cannabis abuse uncomplicated
F1220,Cannabis dependence uncomplicated
F1290,Cannabis use unspecified uncomplicated
F1310,Sedative hypnotic or anxiolytic abuse uncomplicated
F1410,Cocaine abuse uncomplicated
F1420,Cocaine dependence uncomplicated
F1490,Cocaine use unspecified uncomplicated
F1510,Other stimulant abuse uncomplicated
F1610,Hallucinogen abuse uncomplicated
F17200,Nicotine dependence unspecified uncomplicated
F1810,Inhalant abuse uncomplicated
F1820,Inhalant dependence uncomplicated
F1890,Inhalant use unspecified uncomplicated
F1910,Other psychoactive substance abuse uncomplicated
F200,Paranoid schizophrenia
F201,Disorganized schizophrenia
F202,Catatonic schizophrenia
F203,Undifferentiated schizophrenia
F205,Residual schizophrenia
F2081,Schizophreniform disorder
F2089,Other schizophrenia
F209,Schizophrenia unspecified
F21,Schizotypal disorder
F22,Delusional disorders
F23,Brief psychotic disorder
F24,Shared psychotic disorder
F250,Schizoaffective disorder bipolar type
F258,Other schizoaffective disorders
F259,Schizoaffective disorder unspecified
F28,Other psychotic disorder not due to a substance or known physiological condition
F29,Unspecified psychosis not due to a substance or known physiological condition
F3010,Manic episode without psychotic symptoms unspecified
F308,Other manic episodes
F309,Manic episode unspecified
F310,Bipolar disorder current episode hypomanic
F3181,Bipolar II disorder
F3189,Other bipolar disorder
F319,Bipolar disorder unspecified
F320,Major depressive disorder single episode mild
F3281,Premenstrual dysphoric disorder
F3289,Other specified depressive episodes
F329,Major depressive disorder single episode unspecified
F330,Major depressive disorder recurrent mild
F338,Other recurrent depressive disorders
F339,Major depressive disorder recurrent unspecified
F340,Cyclothymic disorder
F341,Dysthymic disorder
F3481,Disruptive mood dysregulation disorder
F3489,Other specified persistent mood disorders
F349,Persistent mood [affective] disorder unspecified
F39,Unspecified mood [affective] disorder
F4000,Agoraphobia unspecified
F4010,Social phobia unspecified
F40210,Arachnophobia
F40218,Other animal type phobia
F40220,Fear of thunderstorms
F40228,Other natural environment type phobia
F40230,Fear of blood
F40231,Fear of injections and transfusions
F40232,Fear of other medical care
F40233,Fear of injury
F40240,Claustrophobia
F40241,Acrophobia
F40242,Fear of bridges
F40243,Fear of flying
F40248,Other situational type phobia
F40290,Androphobia
F40291,Gynephobia
F40298,Other specified phobia
F408,Other phobic anxiety disorders
F409,Phobic anxiety disorder unspecified
F410,Panic disorder [episodic paroxysmal anxiety]
F411,Generalized anxiety disorder
F413,Other mixed anxiety disorders
F418,Other specified anxiety disorders
F419,Anxiety disorder unspecified
F422,Mixed obsessional thoughts and acts
F423,Hoarding disorder
F424,Excoriation (skin-picking) disorder
F428,Other obsessive-compulsive disorder
F429,Obsessive-compulsive disorder unspecified
F430,Acute stress reaction
F4310,Post-traumatic stress disorder unspecified
F4320,Adjustment disorder unspecified
F438,Other reactions to severe stress
F439,Reaction to severe stress unspecified
F440,Dissociative amnesia
F444,Conversion disorder with motor symptom or deficit
F4481,Dissociative identity disorder
F4489,Other dissociative and conversion disorders
F449,Dissociative and conversion disorder unspecified
F450,Somatization disorder
F451,Undifferentiated somatoform disorder
F4520,Hypochondriacal disorder unspecified
F4522,Body dysmorphic disorder
F4529,Other hypochondriacal disorders
F4541,Pain disorder exclusively related to psychological factors
F458,Other somatoform disorders
F459,Somatoform disorder unspecified
F481,Depersonalization-derealization syndrome
F482,Pseudobulbar affect
F488,Other specified nonpsychotic mental disorders
F489,Nonpsychotic mental disorder unspecified
F5000,Anorexia nervosa unspecified
F502,Bulimia nervosa
F5081,Binge eating disorder
F5082,Avoidant/restrictive food intake disorder
F5089,Other specified eating disorder
F509,Eating disorder unspecified
F5101,Primary insomnia
F5102,Adjustment insomnia
F5103,Paradoxical insomnia
F5104,Psychophysiologic insomnia
F5105,Insomnia due to other mental disorder
F5109,Other insomnia not due to a substance or known physiological condition
F5111,Primary hypersomnia
F5112,Insufficient sleep syndrome
F5113,Hypersomnia due to other mental disorder
F5119,Other hypersomnia not due to a substance or known physiological condition
F513,Sleepwalking [somnambulism]
F514,Sleep terrors [night terrors]
F515,Nightmare disorder
F518,Other sleep disorders not due to a substance or known physiological condition
F519,Sleep disorder not due to a substance or known physiological condition unspecified
F520,Hypoactive sexual desire disorder
F521,Sexual aversion disorder
F5221,Male erectile disorder
F5222,Female sexual arousal disorder
F5231,Female orgasmic disorder
F5232,Male orgasmic disorder
F524,Premature ejaculation
F525,Vaginismus not due to a substance or known physiological condition
F526,Dyspareunia not due to a substance or known physiological condition
F528,Other sexual dysfunction not due to a substance or known physiological condition
F529,Unspecified sexual dysfunction not due to a substance or known physiological condition
F530,Postpartum depression
F531,Puerperal psychosis
F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere
F550,Abuse of antacids
F551,Abuse of herbal or folk remedies
F552,Abuse of laxatives
F553,Abuse of steroids or hormones
F554,Abuse of vitamins
F558,Abuse of other non-psychoactive substances
F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F600,Paranoid personality disorder
F601,Schizoid personality disorder
F602,Antisocial personality disorder
F603,Borderline personality disorder
F604,Histrionic personality disorder
F605,Obsessive-compulsive personality disorder
F606,Avoidant personality disorder
F607,Dependent personality disorder
F6081,Narcissistic personality disorder
F6089,Other specific personality disorders
F609,Personality disorder unspecified
F630,Pathological gambling
F631,Pyromania
F632,Kleptomania
F633,Trichotillomania
F6381,Intermittent explosive disorder
F6389,Other impulse disorders
F639,Impulse disorder unspecified
F640,Transsexualism
F641,Dual role transvestism
F642,Gender identity disorder of childhood
F648,Other gender identity disorders
F649,Gender identity disorder unspecified
F650,Fetishism
F651,Transvestic fetishism
F652,Exhibitionism
F653,Voyeurism
F654,Pedophilia
F6550,Sadomasochism unspecified
F6551,Sexual masochism
F6552,Sexual sadism
F6581,Frotteurism
F6589,Other paraphilias
F659,Paraphilia unspecified
F66,Other sexual disorders
F6810,Factitious disorder imposed on self unspecified
F688,Other specified disorders of adult personality and behavior
F69,Unspecified disorder of adult personality and behavior
F70,Mild intellectual disabilities
F71,Moderate intellectual disabilities
F72,Severe intellectual disabilities
F73,Profound intellectual disabilities
F78A1,SYNGAP1-related intellectual disability
F79,Unspecified intellectual disabilities
F800,Phonological disorder
F801,Expressive language disorder
F802,Mixed receptive-expressive language disorder
F804,Speech and language development delay due to hearing loss
F8081,Childhood onset fluency disorder
F8082,Social pragmatic communication disorder
F8089,Other developmental disorders of speech and language
F809,Developmental disorder of speech and language unspecified
F810,Specific reading disorder
F812,Mathematics disorder
F8181,Disorder of written expression
F8189,Other developmental disorders of scholastic skills
F819,Developmental disorder of scholastic skills unspecified
F82,Specific developmental disorder of motor function
F840,Autistic disorder
F842,Rett's syndrome
F843,Other childhood disintegrative disorder
F845,Asperger's syndrome
F848,Other pervasive developmental disorders
F849,Pervasive developmental disorder unspecified
F88,Other disorders of psychological development
F89,Unspecified disorder of psychological development
F900,Attention-deficit hyperactivity disorder predominantly inattentive type
F910,Conduct disorder confined to family context
F913,Oppositional defiant disorder
F918,Other conduct disorders
F919,Conduct disorder unspecified
F930,Separation anxiety disorder of childhood
F938,Other childhood emotional disorders
F939,Childhood emotional disorder unspecified
F940,Selective mutism
F941,Reactive attachment disorder of childhood
F942,Disinhibited attachment disorder of childhood
F948,Other childhood disorders of social functioning
F949,Childhood disorder of social functioning unspecified
F950,Transient tic disorder
F951,Chronic motor or vocal tic disorder
F952,Tourette's disorder
F958,Other tic disorders
F959,Tic disorder unspecified
F980,Enuresis not due to a substance or known physiological condition
F981,Encopresis not due to a substance or known physiological condition
F9821,Rumination disorder of infancy
F9829,Other feeding disorders of infancy and early childhood
F983,Pica of infancy and childhood
F984,Stereotyped movement disorders
F985,Adult onset fluency disorder
F988,Other specified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F989,Unspecified behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99,Mental disorder not otherwise specified
G000,Hemophilus meningitis
G001,Pneumococcal meningitis
G002,Streptococcal meningitis
G003,Staphylococcal meningitis
G008,Other bacterial meningitis
G009,Bacterial meningitis unspecified
G01,Meningitis in bacterial diseases classified elsewhere
G030,Nonpyogenic meningitis
G031,Chronic meningitis
G032,Benign recurrent meningitis [Mollaret]
G038,Meningitis due to other specified causes
G0400,Acute disseminated encephalitis and encephalomyelitis unspecified
G0401,Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM)
G0402,Postimmunization acute disseminated encephalitis myelitis and encephalomyelitis
G041,Tropical spastic paraplegia
G042,Bacterial meningoencephalitis and meningomyelitis not elsewhere classified
G0430,Acute necrotizing hemorrhagic encephalopathy unspecified
G0431,Postinfectious acute necrotizing hemorrhagic encephalopathy
G0432,Postimmunization acute necrotizing hemorrhagic encephalopathy
G0439,Other acute necrotizing hemorrhagic encephalopathy
G0481,Other encephalitis and encephalomyelitis
G0482,Acute flaccid myelitis
G0489,Other myelitis
G0490,Encephalitis and encephalomyelitis unspecified
G0491,Myelitis unspecified
G053,Encephalitis and encephalomyelitis in diseases classified elsewhere
G054,Myelitis in diseases classified elsewhere
G060,Intracranial abscess and granuloma
G061,Intraspinal abscess and granuloma
G062,Extradural and subdural abscess unspecified
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G09,Sequelae of inflammatory diseases of central nervous system
G10,Huntington's disease
G110,Congenital nonprogressive ataxia
G1110,Early-onset cerebellar ataxia unspecified
G1111,Friedreich ataxia
G1119,Other early-onset cerebellar ataxia
G112,Late-onset cerebellar ataxia
G113,Cerebellar ataxia with defective DNA repair
G114,Hereditary spastic paraplegia
G118,Other hereditary ataxias
G119,Hereditary ataxia unspecified
G120,Infantile spinal muscular atrophy type I [Werdnig-Hoffman]
G121,Other inherited spinal muscular atrophy
G1220,Motor neuron disease unspecified
G1221,Amyotrophic lateral sclerosis
G1222,Progressive bulbar palsy
G1223,Primary lateral sclerosis
G1224,Familial motor neuron disease
G1225,Progressive spinal muscle atrophy
G1229,Other motor neuron disease
G128,Other spinal muscular atrophies and related syndromes
G129,Spinal muscular atrophy unspecified
G130,Paraneoplastic neuromyopathy and neuropathy
G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease
G132,Systemic atrophy primarily affecting the central nervous system in myxedema
G14,Postpolio syndrome
G20,Parkinson's disease
G210,Malignant neuroleptic syndrome
G2111,Neuroleptic induced parkinsonism
G2119,Other drug induced secondary parkinsonism
G212,Secondary parkinsonism due to other external agents
G213,Postencephalitic parkinsonism
G214,Vascular parkinsonism
G218,Other secondary parkinsonism
G219,Secondary parkinsonism unspecified
G230,Hallervorden-Spatz disease
G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G232,Striatonigral degeneration
G238,Other specified degenerative diseases of basal ganglia
G239,Degenerative disease of basal ganglia unspecified
G2401,Drug induced subacute dyskinesia
G2409,Other drug induced dystonia
G241,Genetic torsion dystonia
G242,Idiopathic nonfamilial dystonia
G243,Spasmodic torticollis
G244,Idiopathic orofacial dystonia
G245,Blepharospasm
G248,Other dystonia
G249,Dystonia unspecified
G250,Essential tremor
G251,Drug-induced tremor
G252,Other specified forms of tremor
G253,Myoclonus
G254,Drug-induced chorea
G255,Other chorea
G2561,Drug induced tics
G2569,Other tics of organic origin
G2570,Drug induced movement disorder unspecified
G2579,Other drug induced movement disorders
G2581,Restless legs syndrome
G2582,Stiff-man syndrome
G2583,Benign shuddering attacks
G2589,Other specified extrapyramidal and movement disorders
G259,Extrapyramidal and movement disorder unspecified
G300,Alzheimer's disease with early onset
G308,Other Alzheimer's disease
G309,Alzheimer's disease unspecified
G3101,Pick's disease
G3109,Other frontotemporal dementia
G311,Senile degeneration of brain not elsewhere classified
G312,Degeneration of nervous system due to alcohol
G3181,Alpers disease
G3182,Leigh's disease
G3183,Dementia with Lewy bodies
G3184,Mild cognitive impairment so stated
G3185,Corticobasal degeneration
G3189,Other specified degenerative diseases of nervous system
G319,Degenerative disease of nervous system unspecified
G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere
G3281,Cerebellar ataxia in diseases classified elsewhere
G3289,Other specified degenerative disorders of nervous system in diseases classified elsewhere
G35,Multiple sclerosis
G360,Neuromyelitis optica [Devic]
G361,Acute and subacute hemorrhagic leukoencephalitis [Hurst]
G368,Other specified acute disseminated demyelination
G369,Acute disseminated demyelination unspecified
G370,Diffuse sclerosis of central nervous system
G371,Central demyelination of corpus callosum
G372,Central pontine myelinolysis
G373,Acute transverse myelitis in demyelinating disease of central nervous system
G374,Subacute necrotizing myelitis of central nervous system
G375,Concentric sclerosis [Balo] of central nervous system
G378,Other specified demyelinating diseases of central nervous system
G379,Demyelinating disease of central nervous system unspecified
G40001,Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset not intractable with status epilepticus
G40301,Generalized idiopathic epilepsy and epileptic syndromes not intractable with status epilepticus
G40A01,Absence epileptic syndrome not intractable with status epilepticus
G40B01,Juvenile myoclonic epilepsy not intractable with status epilepticus
G40401,Other generalized epilepsy and epileptic syndromes not intractable with status epilepticus
G4042,Cyclin-Dependent Kinase-Like 5 Deficiency Disorder
G40501,Epileptic seizures related to external causes not intractable with status epilepticus
G40801,Other epilepsy not intractable with status epilepticus
G40811,Lennox-Gastaut syndrome not intractable with status epilepticus
G40821,Epileptic spasms not intractable with status epilepticus
G40833,Dravet syndrome intractable with status epilepticus
G4089,Other seizures
G40901,Epilepsy unspecified not intractable with status epilepticus
G43001,Migraine without aura not intractable with status migrainosus
G43401,Hemiplegic migraine not intractable with status migrainosus
G43501,Persistent migraine aura without cerebral infarction not intractable with status migrainosus
G43701,Chronic migraine without aura not intractable with status migrainosus
G43A0,Cyclical vomiting in migraine not intractable
G43801,Other migraine not intractable with status migrainosus
G43821,Menstrual migraine not intractable with status migrainosus
G43901,Migraine unspecified not intractable with status migrainosus
G44001,Cluster headache syndrome unspecified intractable
G44011,Episodic cluster headache intractable
G44021,Chronic cluster headache intractable
G44031,Episodic paroxysmal hemicrania intractable
G44041,Chronic paroxysmal hemicrania intractable
G44051,Short lasting unilateral neuralgiform headache with conjunctival injection and tearing (SUNCT) intractable
G44091,Other trigeminal autonomic cephalgias (TAC) intractable
G441,Vascular headache not elsewhere classified
G44201,Tension-type headache unspecified intractable
G44211,Episodic tension-type headache intractable
G44221,Chronic tension-type headache intractable
G44301,Post-traumatic headache unspecified intractable
G44311,Acute post-traumatic headache intractable
G44321,Chronic post-traumatic headache intractable
G4440,Drug-induced headache not elsewhere classified not intractable
G4451,Hemicrania continua
G4452,New daily persistent headache (NDPH)
G4453,Primary thunderclap headache
G4459,Other complicated headache syndrome
G4481,Hypnic headache
G4482,Headache associated with sexual activity
G4483,Primary cough headache
G4484,Primary exertional headache
G4485,Primary stabbing headache
G4486,Cervicogenic headache
G4489,Other headache syndrome
G450,Vertebro-basilar artery syndrome
G451,Carotid artery syndrome (hemispheric)
G452,Multiple and bilateral precerebral artery syndromes
G453,Amaurosis fugax
G454,Transient global amnesia
G458,Other transient cerebral ischemic attacks and related syndromes
G459,Transient cerebral ischemic attack unspecified
G460,Middle cerebral artery syndrome
G461,Anterior cerebral artery syndrome
G462,Posterior cerebral artery syndrome
G463,Brain stem stroke syndrome
G464,Cerebellar stroke syndrome
G465,Pure motor lacunar syndrome
G466,Pure sensory lacunar syndrome
G467,Other lacunar syndromes
G468,Other vascular syndromes of brain in cerebrovascular diseases
G4700,Insomnia unspecified
G4701,Insomnia due to medical condition
G4709,Other insomnia
G4710,Hypersomnia unspecified
G4711,Idiopathic hypersomnia with long sleep time
G4713,Recurrent hypersomnia
G4714,Hypersomnia due to medical condition
G4719,Other hypersomnia
G4720,Circadian rhythm sleep disorder unspecified type
G4729,Other circadian rhythm sleep disorder
G4730,Sleep apnea unspecified
G4731,Primary central sleep apnea
G4732,High altitude periodic breathing
G4733,Obstructive sleep apnea (adult) (pediatric)
G4734,Idiopathic sleep related nonobstructive alveolar hypoventilation
G4735,Congenital central alveolar hypoventilation syndrome
G4736,Sleep related hypoventilation in conditions classified elsewhere
G4737,Central sleep apnea in conditions classified elsewhere
G4739,Other sleep apnea
G47411,Narcolepsy with cataplexy
G4750,Parasomnia unspecified
G4751,Confusional arousals
G4752,REM sleep behavior disorder
G4753,Recurrent isolated sleep paralysis
G4754,Parasomnia in conditions classified elsewhere
G4759,Other parasomnia
G4761,Periodic limb movement disorder
G4762,Sleep related leg cramps
G4769,Other sleep related movement disorders
G479,Sleep disorder unspecified
G500,Trigeminal neuralgia
G501,Atypical facial pain
G508,Other disorders of trigeminal nerve
G509,Disorder of trigeminal nerve unspecified
G510,Bell's palsy
G511,Geniculate ganglionitis
G512,Melkersson's syndrome
G5131,Clonic hemifacial spasm right
G514,Facial myokymia
G518,Other disorders of facial nerve
G519,Disorder of facial nerve unspecified
G520,Disorders of olfactory nerve
G529,Cranial nerve disorder unspecified
G540,Brachial plexus disorders
G541,Lumbosacral plexus disorders
G542,Cervical root disorders not elsewhere classified
G543,Thoracic root disorders not elsewhere classified
G544,Lumbosacral root disorders not elsewhere classified
G545,Neuralgic amyotrophy
G546,Phantom limb syndrome with pain
G548,Other nerve root and plexus disorders
G549,Nerve root and plexus disorder unspecified
G5600,Carpal tunnel syndrome unspecified upper limb
G5610,Other lesions of median nerve unspecified upper limb
G5620,Lesion of ulnar nerve unspecified upper limb
G5640,Causalgia of unspecified upper limb
G5680,Other specified mononeuropathies of unspecified upper limb
G5690,Unspecified mononeuropathy of unspecified upper limb
G5700,Lesion of sciatic nerve unspecified lower limb
G5710,Meralgia paresthetica unspecified lower limb
G5720,Lesion of femoral nerve unspecified lower limb
G5750,Tarsal tunnel syndrome unspecified lower limb
G5760,Lesion of plantar nerve unspecified lower limb
G5770,Causalgia of unspecified lower limb
G5780,Other specified mononeuropathies of unspecified lower limb
G5790,Unspecified mononeuropathy of unspecified lower limb
G580,Intercostal neuropathy
G587,Mononeuritis multiplex
G588,Other specified mononeuropathies
G589,Mononeuropathy unspecified
G600,Hereditary motor and sensory neuropathy
G601,Refsum's disease
G602,Neuropathy in association with hereditary ataxia
G603,Idiopathic progressive neuropathy
G608,Other hereditary and idiopathic neuropathies
G609,Hereditary and idiopathic neuropathy unspecified
G610,Guillain-Barre syndrome
G611,Serum neuropathy
G6181,Chronic inflammatory demyelinating polyneuritis
G6182,Multifocal motor neuropathy
G6189,Other inflammatory polyneuropathies
G619,Inflammatory polyneuropathy unspecified
G620,Drug-induced polyneuropathy
G621,Alcoholic polyneuropathy
G622,Polyneuropathy due to other toxic agents
G6281,Critical illness polyneuropathy
G6282,Radiation-induced polyneuropathy
G6289,Other specified polyneuropathies
G629,Polyneuropathy unspecified
G64,Other disorders of peripheral nervous system
G650,Sequelae of Guillain-Barre syndrome
G7000,Myasthenia gravis without (acute) exacerbation
G701,Toxic myoneural disorders
G702,Congenital and developmental myasthenia
G7080,Lambert-Eaton syndrome unspecified
G7089,Other specified myoneural disorders
G709,Myoneural disorder unspecified
G7100,Muscular dystrophy unspecified
G7101,Duchenne or Becker muscular dystrophy
G7102,Facioscapulohumeral muscular dystrophy
G7109,Other specified muscular dystrophies
G7111,Myotonic muscular dystrophy
G7112,Myotonia congenita
G7113,Myotonic chondrodystrophy
G7114,Drug induced myotonia
G7119,Other specified myotonic disorders
G7120,Congenital myopathy unspecified
G7121,Nemaline myopathy
G71220,X-linked myotubular myopathy
G71228,Other centronuclear myopathy
G7129,Other congenital myopathy
G713,Mitochondrial myopathy not elsewhere classified
G718,Other primary disorders of muscles
G719,Primary disorder of muscle unspecified
G720,Drug-induced myopathy
G721,Alcoholic myopathy
G722,Myopathy due to other toxic agents
G723,Periodic paralysis
G7241,Inclusion body myositis [IBM]
G7249,Other inflammatory and immune myopathies not elsewhere classified
G7281,Critical illness myopathy
G7289,Other specified myopathies
G729,Myopathy unspecified
G731,Lambert-Eaton syndrome in neoplastic disease
G733,Myasthenic syndromes in other diseases classified elsewhere
G737,Myopathy in diseases classified elsewhere
G800,Spastic quadriplegic cerebral palsy
G801,Spastic diplegic cerebral palsy
G802,Spastic hemiplegic cerebral palsy
G803,Athetoid cerebral palsy
G804,Ataxic cerebral palsy
G808,Other cerebral palsy
G809,Cerebral palsy unspecified
G8100,Flaccid hemiplegia affecting unspecified side
G8110,Spastic hemiplegia affecting unspecified side
G8190,Hemiplegia unspecified affecting unspecified side
G8220,Paraplegia unspecified
G8250,Quadriplegia unspecified
G830,Diplegia of upper limbs
G8310,Monoplegia of lower limb affecting unspecified side
G834,Cauda equina syndrome
G835,Locked-in state
G8381,Brown-Sequard syndrome
G8382,Anterior cord syndrome
G8383,Posterior cord syndrome
G8384,Todd's paralysis (postepileptic)
G8389,Other specified paralytic syndromes
G839,Paralytic syndrome unspecified
G890,Central pain syndrome
G8911,Acute pain due to trauma
G8912,Acute post-thoracotomy pain
G8918,Other acute postprocedural pain
G8921,Chronic pain due to trauma
G8922,Chronic post-thoracotomy pain
G8928,Other chronic postprocedural pain
G893,Neoplasm related pain (acute) (chronic)
G894,Chronic pain syndrome
G9001,Carotid sinus syncope
G9009,Other idiopathic peripheral autonomic neuropathy
G901,Familial dysautonomia [Riley-Day]
G902,Horner's syndrome
G903,Multi-system degeneration of the autonomic nervous system
G904,Autonomic dysreflexia
G9050,Complex regional pain syndrome I unspecified
G908,Other disorders of autonomic nervous system
G909,Disorder of the autonomic nervous system unspecified
G910,Communicating hydrocephalus
G911,Obstructive hydrocephalus
G912,(Idiopathic) normal pressure hydrocephalus
G913,Post-traumatic hydrocephalus unspecified
G914,Hydrocephalus in diseases classified elsewhere
G918,Other hydrocephalus
G919,Hydrocephalus unspecified
G9200,Immune effector cell-associated neurotoxicity syndrome grade unspecified
G928,Other toxic encephalopathy
G929,Unspecified toxic encephalopathy
G930,Cerebral cysts
G931,Anoxic brain damage not elsewhere classified
G932,Benign intracranial hypertension
G933,Postviral fatigue syndrome
G9340,Encephalopathy unspecified
G9341,Metabolic encephalopathy
G9349,Other encephalopathy
G935,Compression of brain
G936,Cerebral edema
G937,Reye's syndrome
G9381,Temporal sclerosis
G9382,Brain death
G9389,Other specified disorders of brain
G939,Disorder of brain unspecified
G94,Other disorders of brain in diseases classified elsewhere
G950,Syringomyelia and syringobulbia
G9511,Acute infarction of spinal cord (embolic) (nonembolic)
G9519,Other vascular myelopathies
G9520,Unspecified cord compression
G9529,Other cord compression
G9581,Conus medullaris syndrome
G9589,Other specified diseases of spinal cord
G959,Disease of spinal cord unspecified
G9600,Cerebrospinal fluid leak unspecified
G9601,Cranial cerebrospinal fluid leak spontaneous
G9602,Spinal cerebrospinal fluid leak spontaneous
G9608,Other cranial cerebrospinal fluid leak
G9609,Other spinal cerebrospinal fluid leak
G9611,Dural tear
G9612,Meningeal adhesions (cerebral) (spinal)
G96191,Perineural cyst
G96198,Other disorders of meninges not elsewhere classified
